Customer Name,City,State,Days to Ship,Product Name,Actual Discount,Sales,Profit,Quantity,Order Day of Week,Order Day of Year,Order Year,Ship Day of Week,Ship Day of Year,Ship Year
677,847,103,4,670,22.5,45,-26,3,1,1,2013,5,5,2013
724,841,41,4,513,0.0,854,290,7,3,3,2013,0,7,2013
177,909,7,4,294,0.0,140,21,3,4,4,2013,1,8,2013
540,109,41,5,306,13.5,27,-22,2,4,4,2013,2,9,2013
540,109,41,5,585,8.5,17,-1,2,4,4,2013,2,9,2013
155,284,7,2,288,0.0,90,21,3,5,5,2013,0,7,2013
155,284,7,2,1520,0.0,207,77,4,5,5,2013,0,7,2013
253,473,87,1,374,15.5,155,36,1,0,7,2013,1,8,2013
253,473,87,1,43,0.0,33,2,3,0,7,2013,1,8,2013
253,473,87,1,1609,71.6,716,143,4,0,7,2013,1,8,2013
65,884,61,6,1000,592.2,987,-1012,6,1,8,2013,0,14,2013
65,884,61,6,293,58.0,116,-56,5,1,8,2013,0,14,2013
238,358,63,5,992,0.0,22,7,3,4,11,2013,2,16,2013
247,933,119,4,299,0.0,55,10,1,4,11,2013,1,15,2013
247,933,119,4,1629,0.0,97,31,2,4,11,2013,1,15,2013
724,627,74,4,272,160.8,268,-342,2,4,11,2013,1,15,2013
724,627,74,4,1246,0.0,40,6,5,4,11,2013,1,15,2013
280,985,41,0,1417,0.0,1384,14,3,4,11,2013,4,11,2013
280,985,41,0,274,0.0,103,20,2,4,11,2013,4,11,2013
303,529,68,7,1017,55.2,552,165,5,5,12,2013,5,19,2013
303,529,68,7,274,0.0,257,49,5,5,12,2013,5,19,2013
303,529,68,7,993,0.0,17,6,2,5,12,2013,5,19,2013
303,529,68,7,697,0.0,522,21,2,5,12,2013,5,19,2013
406,503,41,5,907,0.0,290,70,5,5,12,2013,3,17,2013
767,824,41,3,789,17.0,34,-6,2,5,12,2013,1,15,2013
408,266,101,6,1780,4.5,9,-3,3,6,13,2013,5,19,2013
408,266,101,6,860,11.0,22,-12,4,6,13,2013,5,19,2013
408,266,101,6,773,25.0,50,-38,2,6,13,2013,5,19,2013
408,266,101,6,1608,99.0,198,-131,2,6,13,2013,5,19,2013
672,371,121,7,1535,15.5,31,-14,5,6,13,2013,6,20,2013
213,933,119,5,1801,0.0,224,103,11,0,14,2013,5,19,2013
213,933,119,5,1660,0.0,486,78,3,0,14,2013,5,19,2013
213,933,119,5,139,0.0,440,66,6,0,14,2013,5,19,2013
237,480,68,5,493,24.9,249,3,1,1,15,2013,6,20,2013
237,480,68,5,861,0.0,21,7,2,1,15,2013,6,20,2013
237,480,68,5,776,0.0,170,25,5,1,15,2013,6,20,2013
237,480,68,5,618,0.0,55,2,2,1,15,2013,6,20,2013
237,480,68,5,884,0.0,527,11,2,1,15,2013,6,20,2013
266,225,58,6,941,8.5,17,-8,3,3,17,2013,2,23,2013
138,349,115,3,1717,0.0,108,33,8,4,18,2013,0,21,2013
380,303,100,5,14,13.0,26,-11,1,4,18,2013,2,23,2013
414,821,67,2,749,0.0,48,21,3,5,19,2013,0,21,2013
365,890,98,1,1775,0.0,145,44,3,5,19,2013,6,20,2013
365,890,98,1,710,19.2,48,8,3,5,19,2013,6,20,2013
594,951,59,5,311,0.0,58,8,2,6,20,2013,4,25,2013
608,106,81,5,1182,0.0,495,233,2,0,21,2013,5,26,2013
189,513,44,4,183,0.0,12,3,2,1,22,2013,5,26,2013
189,513,44,4,1730,0.0,666,120,5,1,22,2013,5,26,2013
556,724,108,4,367,0.0,825,338,2,1,22,2013,5,26,2013
556,724,108,4,298,0.0,54,12,1,1,22,2013,5,26,2013
556,724,108,4,1374,355.6,889,59,7,1,22,2013,5,26,2013
763,353,98,2,307,0.0,28,4,1,3,24,2013,5,26,2013
772,116,40,2,881,43.8,73,-57,1,3,24,2013,5,26,2013
772,116,40,2,1298,41.4,69,-95,3,3,24,2013,5,26,2013
772,116,40,2,103,0.0,41,3,4,3,24,2013,5,26,2013
772,116,40,2,847,0.0,54,8,5,3,24,2013,5,26,2013
772,116,40,2,1491,0.0,55,3,3,3,24,2013,5,26,2013
165,585,81,7,84,0.0,20,4,1,4,25,2013,4,32,2013
165,585,81,7,437,0.0,133,4,10,4,25,2013,4,32,2013
769,557,59,5,1642,0.0,178,59,7,4,25,2013,2,30,2013
500,552,70,4,1612,0.0,32,10,3,5,26,2013,2,30,2013
296,669,82,4,4,0.0,13,5,1,5,26,2013,2,30,2013
296,669,82,4,165,0.0,52,20,4,5,26,2013,2,30,2013
296,669,82,4,1161,0.0,88,18,3,5,26,2013,2,30,2013
395,523,65,4,903,285.0,570,-217,3,5,26,2013,2,30,2013
278,272,87,6,1370,2.8,28,-1,1,0,28,2013,6,34,2013
305,398,81,6,19,0.0,21,11,3,4,32,2013,3,38,2013
305,398,81,6,180,0.0,12,4,2,4,32,2013,3,38,2013
436,688,40,4,1532,0.0,78,20,3,4,32,2013,1,36,2013
666,275,93,3,1805,6.5,13,-8,1,5,33,2013,1,36,2013
666,275,93,3,803,43.0,86,0,1,5,33,2013,1,36,2013
666,275,93,3,1196,292.0,584,-59,8,5,33,2013,1,36,2013
162,822,2,4,47,0.0,38,18,1,5,33,2013,2,37,2013
162,822,2,4,476,58.7,587,104,1,5,33,2013,2,37,2013
109,882,115,2,304,0.0,44,8,2,5,33,2013,0,35,2013
777,75,30,5,1012,0.0,729,241,2,5,33,2013,3,38,2013
777,75,30,5,1422,53.2,266,23,4,5,33,2013,3,38,2013
777,75,30,5,205,0.0,57,1,1,5,33,2013,3,38,2013
777,75,30,5,1532,0.0,116,13,4,5,33,2013,3,38,2013
148,531,41,2,464,16.2,162,43,2,5,33,2013,0,35,2013
100,742,1,4,1491,23.0,46,-41,5,5,33,2013,2,37,2013
100,742,1,4,1154,22.0,44,-8,2,5,33,2013,2,37,2013
100,742,1,4,882,357.5,550,-236,6,5,33,2013,2,37,2013
100,742,1,4,1095,57.85,89,-76,3,5,33,2013,2,37,2013
453,760,14,0,707,24.8,248,8,2,5,33,2013,5,33,2013
453,760,14,0,359,0.0,379,140,1,5,33,2013,5,33,2013
550,906,112,2,309,45.5,91,-62,6,6,34,2013,1,36,2013
724,644,87,4,1753,14.9,149,15,3,0,35,2013,4,39,2013
574,127,77,4,1645,0.0,112,4,4,3,38,2013,0,42,2013
574,127,77,4,160,0.0,50,6,4,3,38,2013,0,42,2013
574,127,77,4,1104,31.2,208,12,2,3,38,2013,0,42,2013
454,470,87,5,1251,0.0,31,11,3,3,38,2013,1,43,2013
702,827,108,5,1696,0.0,110,22,6,4,39,2013,2,44,2013
221,75,30,5,1003,0.0,368,15,3,5,40,2013,3,45,2013
221,75,30,5,293,0.0,93,24,2,5,40,2013,3,45,2013
221,75,30,5,429,0.0,85,18,3,5,40,2013,3,45,2013
221,75,30,5,1707,0.0,48,5,3,5,40,2013,3,45,2013
221,75,30,5,1603,6.0,60,-3,4,5,40,2013,3,45,2013
637,336,56,0,287,0.0,133,5,5,5,40,2013,5,40,2013
637,336,56,0,433,0.0,80,21,7,5,40,2013,5,40,2013
623,23,83,4,80,53.4,267,90,3,5,40,2013,2,44,2013
623,23,83,4,766,27.5,55,-19,4,5,40,2013,2,44,2013
623,23,83,4,1383,45.5,91,-2,3,5,40,2013,2,44,2013
482,81,11,4,1558,0.0,780,117,2,6,41,2013,3,45,2013
482,81,11,4,206,0.0,19,8,1,6,41,2013,3,45,2013
353,230,70,5,509,0.0,822,353,2,6,41,2013,4,46,2013
353,230,70,5,302,0.0,19,4,1,6,41,2013,4,46,2013
131,576,87,4,1110,0.0,50,24,4,6,41,2013,3,45,2013
131,576,87,4,1360,30.9,206,27,2,6,41,2013,3,45,2013
765,406,68,0,159,13.0,26,-14,5,6,41,2013,6,41,2013
765,406,68,0,1731,129.0,215,-220,4,6,41,2013,6,41,2013
424,291,115,5,210,0.0,26,1,1,3,45,2013,1,50,2013
424,291,115,5,568,0.9,9,2,1,3,45,2013,1,50,2013
760,407,83,5,1547,437.5,875,-577,4,4,46,2013,2,51,2013
760,407,83,5,227,191.1,273,-500,3,4,46,2013,2,51,2013
710,822,2,6,917,145.6,728,-82,2,4,46,2013,3,52,2013
710,822,2,6,1391,0.0,127,19,3,4,46,2013,3,52,2013
552,628,61,3,1416,454.4,4544,1868,11,5,47,2013,1,50,2013
552,628,61,3,959,27.7,277,0,1,5,47,2013,1,50,2013
552,628,61,3,1636,0.0,90,32,6,5,47,2013,1,50,2013
552,628,61,3,1208,42.6,284,43,2,5,47,2013,1,50,2013
666,90,17,6,1292,0.0,35,14,3,0,49,2013,6,55,2013
409,686,59,5,180,0.0,24,8,4,0,49,2013,5,54,2013
409,686,59,5,1338,19.35,129,-2,3,0,49,2013,5,54,2013
731,180,81,4,108,0.0,55,8,5,0,49,2013,4,53,2013
731,180,81,4,1288,0.0,62,23,7,0,49,2013,4,53,2013
232,593,67,5,234,501.5,1003,-943,4,3,52,2013,1,57,2013
232,593,67,5,277,0.0,164,78,3,3,52,2013,1,57,2013
232,593,67,5,1627,11.6,29,-13,1,3,52,2013,1,57,2013
232,593,67,5,1318,12.0,30,-5,1,3,52,2013,1,57,2013
389,996,126,4,1716,0.0,21,6,2,3,52,2013,0,56,2013
389,996,126,4,1587,0.0,32,8,3,3,52,2013,0,56,2013
159,385,108,4,72,0.0,103,30,2,4,53,2013,1,57,2013
159,385,108,4,7,0.0,41,12,3,4,53,2013,1,57,2013
159,385,108,4,160,0.0,63,8,5,4,53,2013,1,57,2013
159,385,108,4,162,0.0,23,8,2,4,53,2013,1,57,2013
159,385,108,4,1098,190.8,477,40,3,4,53,2013,1,57,2013
419,686,59,2,1782,0.0,10,2,2,4,53,2013,6,55,2013
351,277,38,5,154,92.5,185,-93,3,4,53,2013,2,58,2013
422,757,62,5,839,28.2,47,-60,2,5,54,2013,3,59,2013
55,631,75,4,365,0.0,2076,104,5,6,55,2013,3,59,2013
55,631,75,4,15,0.0,309,77,6,6,55,2013,3,59,2013
55,631,75,4,341,0.0,525,58,2,6,55,2013,3,59,2013
375,993,80,6,79,106.6,533,0,6,1,57,2013,0,63,2013
375,993,80,6,1191,60.0,120,-41,3,1,57,2013,0,63,2013
554,114,81,3,290,0.0,147,0,12,4,60,2013,0,63,2013
554,114,81,3,721,10.2,102,35,2,4,60,2013,0,63,2013
554,114,81,3,681,0.0,47,13,1,4,60,2013,0,63,2013
613,218,1,7,211,0.0,107,30,4,4,60,2013,4,67,2013
51,317,41,5,1436,0.0,1314,342,3,4,60,2013,2,65,2013
51,317,41,5,1308,0.0,705,289,5,4,60,2013,2,65,2013
51,317,41,5,222,0.0,195,35,4,4,60,2013,2,65,2013
51,317,41,5,1535,0.0,37,10,3,4,60,2013,2,65,2013
109,102,15,4,245,15.1,151,-5,2,4,60,2013,1,64,2013
111,757,62,4,993,0.0,18,3,2,4,60,2013,1,64,2013
712,102,15,4,834,72.8,364,45,8,4,60,2013,1,64,2013
712,102,15,4,710,12.6,63,24,3,4,60,2013,1,64,2013
712,102,15,4,1621,23.6,118,37,3,4,60,2013,1,64,2013
490,749,40,6,1274,0.0,58,29,3,6,62,2013,5,68,2013
599,686,59,1,203,0.0,108,37,2,3,66,2013,4,67,2013
605,69,9,5,69,0.0,117,15,7,4,67,2013,2,72,2013
399,552,70,3,217,0.0,97,37,3,5,68,2013,1,71,2013
399,552,70,3,1113,0.0,94,21,2,5,68,2013,1,71,2013
399,552,70,3,1733,10.4,104,27,5,5,68,2013,1,71,2013
399,552,70,3,1574,0.0,126,59,1,5,68,2013,1,71,2013
383,699,9,0,1187,0.0,520,203,3,6,69,2013,6,69,2013
680,824,41,4,842,37.0,74,-18,2,6,69,2013,3,73,2013
587,236,41,7,1293,0.0,28,10,2,6,69,2013,6,76,2013
736,102,15,3,429,22.9,229,28,9,0,70,2013,3,73,2013
70,697,5,4,282,0.0,72,14,3,0,70,2013,4,74,2013
699,422,114,7,1540,0.0,195,91,4,1,71,2013,1,78,2013
394,81,11,5,397,0.0,167,7,4,1,71,2013,6,76,2013
394,81,11,5,709,0.0,273,57,2,1,71,2013,6,76,2013
22,102,15,4,1181,22.0,220,49,1,3,73,2013,0,77,2013
442,120,81,2,1536,0.0,43,20,3,3,73,2013,5,75,2013
442,120,81,2,728,0.0,193,62,6,3,73,2013,5,75,2013
734,505,93,3,966,307.0,3070,1364,6,3,73,2013,6,76,2013
734,505,93,3,582,23.0,230,20,2,3,73,2013,6,76,2013
187,885,77,5,868,0.0,14,4,3,3,73,2013,1,78,2013
770,531,41,0,1313,25.4,254,73,3,4,74,2013,4,74,2013
770,531,41,0,289,1.1,11,4,1,4,74,2013,4,74,2013
770,531,41,0,1523,2.9,29,-2,2,4,74,2013,4,74,2013
